timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Jan 9, 2026 @ 16:04:55.372",aditys-agent,"[""T1562.001""]","[""Defense Evasion""]",Wazuh agent disconnected.,3,504
"Jan 9, 2026 @ 15:46:16.900",aditys-agent,"[""T1529""]","[""Impact""]",System shutdown initiated.,3,67018
"Jan 9, 2026 @ 12:46:24.382",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:24.379",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:24.251",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:24.220",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:21.903",aditys-agent,"[""T1110""]","[""Credential Access""]",Multiple Windows Logon Failures,10,60204
"Jan 9, 2026 @ 12:46:21.887",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:21.887",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:21.880",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:19.719",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:19.585",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:19.585",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:19.573",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
"Jan 9, 2026 @ 12:46:17.394",aditys-agent,"[""T1110""]","[""Credential Access""]",Multiple Windows Logon Failures,10,60204
"Jan 9, 2026 @ 12:46:17.386",aditys-agent,"[""T1531""]","[""Impact""]",Logon Failure - Unknown user or bad password,5,60122
